Item Code,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Product_Segment,Cluster,Cluster_Name,Risk_Score,Risk_Level,PCA1,PCA2
100009,62,2,0.08,5,2,3,523,3.3333333333333335,Emerging Products,4,Low Performing Products,30.384,Medium Risk,0.3584479445965941,-0.30923230021467196
100023,62,2,0.0,5,2,1,521,2.6666666666666665,Newly Launched Products,4,Low Performing Products,30.4,Medium Risk,0.3581387865032536,-0.3103611069140068
100024,62,3,1.4100000000000001,5,4,4,544,4.333333333333333,Top Performing Products,8,Low Performing Products,29.818,Low Risk,1.1844943763282085,-0.4825628284226867
100080,184,1,0.0,2,1,1,211,1.3333333333333333,Inactive Products,2,Low Performing Products,91.7,High Risk,-1.5550910358444099,0.22438744923672557
1001,62,3,0.0,5,4,1,541,3.3333333333333335,Inactive Products,8,Low Performing Products,30.1,Medium Risk,1.1790454649373052,-0.5024580464867838
100145,62,2,0.0,5,2,1,521,2.6666666666666665,Newly Launched Products,4,Low Performing Products,30.4,Medium Risk,0.35813878650325554,-0.31036110691400143
10023,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10024,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10025,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
100293,62,3,1.97,5,4,4,544,4.333333333333333,Top Performing Products,8,Low Performing Products,29.706000000000003,Low Risk,1.186658482979915,-0.4746611815319813
10040,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10041,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10042,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10044,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10045,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10048,62,1,11.86,5,1,5,515,3.6666666666666665,Emerging Products,1,Emerging Products,28.328,Low Risk,-0.41693520462858485,0.04908142573693163
10049,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10050,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10051,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10052,62,1,16.62,5,1,5,515,3.6666666666666665,Emerging Products,1,Emerging Products,27.375999999999998,Low Risk,-0.398540298089081,0.11624542430792638
10054,62,1,10.75,5,1,5,515,3.6666666666666665,Emerging Products,1,Emerging Products,28.55,Low Risk,-0.42122477317035995,0.03341923279285515
10055,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10058,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10059,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10060,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10061,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10062,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10064,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
100641,62,2,2.76,5,2,4,524,3.6666666666666665,Emerging Products,4,Low Performing Products,29.848,Low Risk,0.3688047407152367,-0.2714172758098112
10066,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10067,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
10068,62,1,0.0,5,1,1,511,2.3333333333333335,Newly Launched Products,1,Emerging Products,30.7,Medium Risk,-0.46276789193079404,-0.11826416734121904
